Dataset;Labeling;Preprocessing;Subset;Neighbors;Model score
Iemocap;Descrete basic emotions;Standardization;Train;46;0.4671412924424973
Iemocap;Descrete basic emotions;Standardization;Train;47;0.4653158086893026
Iemocap;Descrete basic emotions;Standardization;Train;48;0.4667761956918584
Iemocap;Descrete basic emotions;Standardization;Train;49;0.4647681635633442
Iemocap;Descrete basic emotions;Standardization;Train;50;0.4625775830595107
Iemocap;Descrete basic emotions;Standardization;Train;51;0.4629426798101497
Iemocap;Descrete basic emotions;Standardization;Train;52;0.4589266155531216
Iemocap;Descrete basic emotions;Standardization;Train;53;0.4616648411829135
Iemocap;Descrete basic emotions;Standardization;Train;54;0.4589266155531216
Iemocap;Descrete basic emotions;Standardization;Train;55;0.4581964220518437
Iemocap;Descrete basic emotions;Standardization;Train;56;0.4603870025556773
Iemocap;Descrete basic emotions;Standardization;Train;57;0.4592917123037605
Iemocap;Descrete basic emotions;Standardization;Train;58;0.4569185834246075
Iemocap;Descrete basic emotions;Standardization;Train;59;0.4560058415480102
Iemocap;Descrete basic emotions;Standardization;Train;60;0.4556407447973713
Iemocap;Descrete basic emotions;Standardization;Train;61;0.4529025191675794
Iemocap;Descrete basic emotions;Standardization;Train;62;0.4569185834246075
Iemocap;Descrete basic emotions;Standardization;Train;63;0.4554581964220518
Iemocap;Descrete basic emotions;Standardization;Train;64;0.4549105512960935
Iemocap;Descrete basic emotions;Standardization;Train;65;0.4550930996714129
Iemocap;Descrete basic emotions;Standardization;Train;66;0.4532676159182184
Iemocap;Descrete basic emotions;Standardization;Train;67;0.4519897772909821
Iemocap;Descrete basic emotions;Standardization;Train;68;0.4510770354143848
Iemocap;Descrete basic emotions;Standardization;Train;69;0.4525374224169405
Iemocap;Descrete basic emotions;Standardization;Train;70;0.4519897772909821
Iemocap;Descrete basic emotions;Standardization;Train;71;0.4519897772909821
Iemocap;Descrete basic emotions;Standardization;Train;72;0.4508944870390654
Iemocap;Descrete basic emotions;Standardization;Train;73;0.4497991967871486
Iemocap;Descrete basic emotions;Standardization;Train;74;0.4508944870390654
Iemocap;Descrete basic emotions;Standardization;Train;75;0.45271997079226
Iemocap;Positive vs. neutral vs. negative;None;Train;2;0.7093829864914202
Iemocap;Positive vs. neutral vs. negative;None;Train;3;0.7039065352318364
Iemocap;Positive vs. neutral vs. negative;None;Train;4;0.6705001825483753
Iemocap;Positive vs. neutral vs. negative;None;Train;5;0.6440306681270537
Iemocap;Positive vs. neutral vs. negative;None;Train;6;0.631069733479372
Iemocap;Positive vs. neutral vs. negative;None;Train;7;0.6166484118291348
Iemocap;Positive vs. neutral vs. negative;None;Train;8;0.615553121577218
Iemocap;Positive vs. neutral vs. negative;None;Train;9;0.6046002190580504
Iemocap;Positive vs. neutral vs. negative;None;Train;10;0.6047827674333699
Iemocap;Positive vs. neutral vs. negative;None;Train;11;0.6009492515516612
Iemocap;Positive vs. neutral vs. negative;None;Train;12;0.5965680905439942
Iemocap;Positive vs. neutral vs. negative;None;Train;13;0.5932822197882439
Iemocap;Positive vs. neutral vs. negative;None;Train;14;0.5938298649142023
Iemocap;Positive vs. neutral vs. negative;None;Train;15;0.5854326396495071
Iemocap;Positive vs. neutral vs. negative;None;Train;16;0.583789704271632
Iemocap;Positive vs. neutral vs. negative;None;Train;17;0.5803212851405622
Iemocap;Positive vs. neutral vs. negative;None;Train;18;0.5815991237677984
Iemocap;Positive vs. neutral vs. negative;None;Train;19;0.5812340270171595
Iemocap;Positive vs. neutral vs. negative;None;Train;20;0.5825118656443957
Iemocap;Positive vs. neutral vs. negative;None;Train;21;0.5766703176341731
Iemocap;Positive vs. neutral vs. negative;None;Train;22;0.5803212851405622
Iemocap;Positive vs. neutral vs. negative;None;Train;23;0.5774005111354509
Iemocap;Positive vs. neutral vs. negative;None;Train;24;0.5742971887550201
Iemocap;Positive vs. neutral vs. negative;None;Train;25;0.5742971887550201
Iemocap;Positive vs. neutral vs. negative;None;Train;26;0.5724717050018255
Iemocap;Positive vs. neutral vs. negative;None;Train;27;0.5733844468784228
Iemocap;Positive vs. neutral vs. negative;None;Train;28;0.5699160277473531
Iemocap;Positive vs. neutral vs. negative;None;Train;29;0.5700985761226726
Iemocap;Positive vs. neutral vs. negative;None;Train;30;0.5671778021175612
Iemocap;Positive vs. neutral vs. negative;None;Train;31;0.5675428988682001
Iemocap;Positive vs. neutral vs. negative;None;Train;32;0.5671778021175612
Iemocap;Positive vs. neutral vs. negative;None;Train;33;0.567907995618839
Iemocap;Positive vs. neutral vs. negative;None;Train;34;0.5671778021175612
Iemocap;Positive vs. neutral vs. negative;None;Train;35;0.5658999634903249
Iemocap;Positive vs. neutral vs. negative;None;Train;36;0.5673603504928806
Iemocap;Positive vs. neutral vs. negative;None;Train;37;0.5666301569916028
Iemocap;Positive vs. neutral vs. negative;None;Train;38;0.5657174151150055
Iemocap;Positive vs. neutral vs. negative;None;Train;39;0.565534866739686
Iemocap;Positive vs. neutral vs. negative;None;Train;40;0.5653523183643665
Iemocap;Positive vs. neutral vs. negative;None;Train;41;0.5648046732384082
Iemocap;Positive vs. neutral vs. negative;None;Train;42;0.5622489959839357
Iemocap;Positive vs. neutral vs. negative;None;Train;43;0.5626140927345746
Iemocap;Positive vs. neutral vs. negative;None;Train;44;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;None;Train;45;0.5638919313618109
Iemocap;Positive vs. neutral vs. negative;None;Train;46;0.5631617378605329
Iemocap;Positive vs. neutral vs. negative;None;Train;47;0.5638919313618109
Iemocap;Positive vs. neutral vs. negative;None;Train;48;0.5633442862358525
Iemocap;Positive vs. neutral vs. negative;None;Train;49;0.5627966411098941
Iemocap;Positive vs. neutral vs. negative;None;Train;50;0.5629791894852135
Iemocap;Positive vs. neutral vs. negative;None;Train;51;0.5620664476086162
Iemocap;Positive vs. neutral vs. negative;None;Train;52;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;None;Train;53;0.5609711573566996
Iemocap;Positive vs. neutral vs. negative;None;Train;54;0.5611537057320191
Iemocap;Positive vs. neutral vs. negative;None;Train;55;0.5611537057320191
Iemocap;Positive vs. neutral vs. negative;None;Train;56;0.5611537057320191
Iemocap;Positive vs. neutral vs. negative;None;Train;57;0.561518802482658
Iemocap;Positive vs. neutral vs. negative;None;Train;58;0.5618838992332968
Iemocap;Positive vs. neutral vs. negative;None;Train;59;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;None;Train;60;0.5609711573566996
Iemocap;Positive vs. neutral vs. negative;None;Train;61;0.56078860898138
Iemocap;Positive vs. neutral vs. negative;None;Train;62;0.5609711573566996
Iemocap;Positive vs. neutral vs. negative;None;Train;63;0.5618838992332968
Iemocap;Positive vs. neutral vs. negative;None;Train;64;0.5602409638554217
Iemocap;Positive vs. neutral vs. negative;None;Train;65;0.56078860898138
Iemocap;Positive vs. neutral vs. negative;None;Train;66;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;None;Train;67;0.5617013508579773
Iemocap;Positive vs. neutral vs. negative;None;Train;68;0.5618838992332968
Iemocap;Positive vs. neutral vs. negative;None;Train;69;0.5598758671047828
Iemocap;Positive vs. neutral vs. negative;None;Train;70;0.5604235122307412
Iemocap;Positive vs. neutral vs. negative;None;Train;71;0.5609711573566996
Iemocap;Positive vs. neutral vs. negative;None;Train;72;0.5609711573566996
Iemocap;Positive vs. neutral vs. negative;None;Train;73;0.5613362541073385
Iemocap;Positive vs. neutral vs. negative;None;Train;74;0.5613362541073385
Iemocap;Positive vs. neutral vs. negative;None;Train;75;0.5620664476086162
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;2;0.7099306316173786
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;3;0.6942314713399049
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;4;0.6600949251551661
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;5;0.6451259583789705
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;6;0.6343556042351223
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;7;0.6228550565899964
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;8;0.6129974443227455
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;9;0.6111719605695509
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;10;0.6069733479372034
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;11;0.5987586710478277
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;12;0.5932822197882439
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;13;0.5945600584154801
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;14;0.5848849945235487
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;15;0.5823293172690763
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;16;0.5839722526469514
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;17;0.579408543263965
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;18;0.5788608981380066
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;19;0.5777656078860898
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;20;0.5775830595107704
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;21;0.5781307046367288
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;22;0.5748448338809785
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;23;0.5719240598758671
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;24;0.5706462212486308
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;25;0.5682730923694779
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;26;0.5686381891201169
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;27;0.5699160277473531
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;28;0.5708287696239503
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;29;0.5662650602409639
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;30;0.5671778021175612
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;31;0.5644395764877692
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;32;0.5642570281124498
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;33;0.56078860898138
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;34;0.5627966411098941
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;35;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;36;0.5631617378605329
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;37;0.5606060606060606
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;38;0.559145673603505
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;39;0.5580503833515882
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;40;0.559145673603505
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;41;0.559145673603505
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;42;0.558780576852866
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;43;0.559145673603505
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;44;0.5585980284775466
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;45;0.5573201898503103
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;46;0.5573201898503103
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;47;0.558780576852866
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;48;0.5589631252281855
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;49;0.558780576852866
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;50;0.5595107703541439
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;51;0.5584154801022271
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;52;0.56078860898138
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;53;0.5578678349762687
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;54;0.5582329317269076
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;55;0.5565899963490325
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;56;0.5565899963490325
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;57;0.5569550930996714
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;58;0.5571376414749909
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;59;0.5569550930996714
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;60;0.5573201898503103
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;61;0.5565899963490325
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;62;0.558780576852866
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;63;0.5575027382256298
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;64;0.5589631252281855
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;65;0.5585980284775466
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;66;0.5585980284775466
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;67;0.5589631252281855
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;68;0.5589631252281855
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;69;0.5573201898503103
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;70;0.5571376414749909
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;71;0.5575027382256298
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;72;0.5573201898503103
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;73;0.5578678349762687
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;74;0.5578678349762687
Iemocap;Positive vs. neutral vs. negative;Normalization;Train;75;0.5575027382256298
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;2;0.7438846294267981
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;3;0.7546549835706462
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;4;0.7039065352318364
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;5;0.7026286966046003
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;6;0.6794450529390288
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;7;0.6798101496896678
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;8;0.6646586345381527
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;9;0.655713764147499
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;10;0.6471339905074844
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;11;0.6484118291347207
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;12;0.6440306681270537
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;13;0.6370938298649143
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;14;0.6361810879883169
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;15;0.6352683461117196
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;16;0.6312522818546915
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;17;0.6292442497261774
Iemocap;Positive vs. neutral vs. negative;Standardization;Train;18;0.6268711208470245
