dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;base-multi;standardized;9;train;0.5405257393209201
Iemocap;base-multi;standardized;10;train;0.5334063526834611
Iemocap;base-multi;standardized;11;train;0.5304855786783498
Iemocap;base-multi;standardized;12;train;0.5250091274187659
Iemocap;base-multi;standardized;13;train;0.517889740781307
Iemocap;base-multi;standardized;14;train;0.5113179992698065
Iemocap;base-multi;standardized;15;train;0.5153340635268346
Iemocap;base-multi;standardized;16;train;0.5073019350127784
Iemocap;base-multi;standardized;17;train;0.5043811610076671
Iemocap;base-multi;standardized;18;train;0.5043811610076671
Iemocap;base-multi;standardized;19;train;0.5031033223804308
Iemocap;base-multi;standardized;20;train;0.5009127418765973
Iemocap;base-multi;standardized;21;train;0.495618838992333
Iemocap;base-multi;standardized;22;train;0.4970792259948886
Iemocap;base-multi;standardized;23;train;0.49324571011318
Iemocap;base-multi;standardized;24;train;0.4916027747353048
Iemocap;base-multi;standardized;25;train;0.4925155166119021
Iemocap;base-multi;standardized;26;train;0.4897772909821103
Iemocap;base-multi;standardized;27;train;0.4886820007301935
Iemocap;base-multi;standardized;28;train;0.4837531945965681
Iemocap;base-multi;standardized;29;train;0.4828404527199708
Iemocap;base-multi;standardized;30;train;0.4828404527199708
Iemocap;base-multi;standardized;31;train;0.4833880978459292
Iemocap;base-multi;standardized;32;train;0.4837531945965681
Iemocap;base-multi;standardized;33;train;0.4833880978459292
Iemocap;base-multi;standardized;34;train;0.4788243884629427
Iemocap;base-multi;standardized;35;train;0.4788243884629427
Iemocap;base-multi;standardized;36;train;0.4780941949616648
Iemocap;base-multi;standardized;37;train;0.4733479372033589
Iemocap;base-multi;standardized;38;train;0.4709748083242059
Iemocap;base-multi;standardized;39;train;0.4689667761956919
Iemocap;base-multi;standardized;40;train;0.470609711573567
Iemocap;base-multi;standardized;41;train;0.4680540343190946
Iemocap;base-multi;standardized;42;train;0.4680540343190946
Iemocap;base-multi;standardized;43;train;0.4678714859437751
Iemocap;base-multi;standardized;44;train;0.4678714859437751
Iemocap;base-multi;standardized;45;train;0.4675063891931362
Iemocap;base-multi;standardized;46;train;0.4671412924424973
Iemocap;base-multi;standardized;47;train;0.4653158086893026
Iemocap;base-multi;standardized;48;train;0.4667761956918584
Iemocap;base-multi;standardized;49;train;0.4647681635633442
Iemocap;base-multi;standardized;50;train;0.4625775830595107
Iemocap;base-multi;standardized;51;train;0.4629426798101497
Iemocap;base-multi;standardized;52;train;0.4589266155531216
Iemocap;base-multi;standardized;53;train;0.4616648411829135
Iemocap;base-multi;standardized;54;train;0.4589266155531216
Iemocap;base-multi;standardized;55;train;0.4581964220518437
Iemocap;base-multi;standardized;56;train;0.4603870025556773
Iemocap;base-multi;standardized;57;train;0.4592917123037605
Iemocap;base-multi;standardized;58;train;0.4569185834246075
Iemocap;base-multi;standardized;59;train;0.4560058415480102
Iemocap;base-multi;standardized;60;train;0.4556407447973713
Iemocap;base-multi;standardized;61;train;0.4529025191675794
Iemocap;base-multi;standardized;62;train;0.4569185834246075
Iemocap;base-multi;standardized;63;train;0.4554581964220518
Iemocap;base-multi;standardized;64;train;0.4549105512960935
Iemocap;base-multi;standardized;65;train;0.4550930996714129
Iemocap;base-multi;standardized;66;train;0.4532676159182184
Iemocap;base-multi;standardized;67;train;0.4519897772909821
Iemocap;base-multi;standardized;68;train;0.4510770354143848
Iemocap;base-multi;standardized;69;train;0.4525374224169405
Iemocap;base-multi;standardized;70;train;0.4519897772909821
Iemocap;base-multi;standardized;71;train;0.4519897772909821
Iemocap;base-multi;standardized;72;train;0.4508944870390654
Iemocap;base-multi;standardized;73;train;0.4497991967871486
Iemocap;base-multi;standardized;74;train;0.4508944870390654
Iemocap;base-multi;standardized;75;train;0.45271997079226
Iemocap;first_try;raw;2;train;0.7093829864914202
Iemocap;first_try;raw;3;train;0.7039065352318364
Iemocap;first_try;raw;4;train;0.6705001825483753
Iemocap;first_try;raw;5;train;0.6440306681270537
Iemocap;first_try;raw;6;train;0.631069733479372
Iemocap;first_try;raw;7;train;0.6166484118291348
Iemocap;first_try;raw;8;train;0.615553121577218
Iemocap;first_try;raw;9;train;0.6046002190580504
Iemocap;first_try;raw;10;train;0.6047827674333699
Iemocap;first_try;raw;11;train;0.6009492515516612
Iemocap;first_try;raw;12;train;0.5965680905439942
Iemocap;first_try;raw;13;train;0.5932822197882439
Iemocap;first_try;raw;14;train;0.5938298649142023
Iemocap;first_try;raw;15;train;0.5854326396495071
Iemocap;first_try;raw;16;train;0.583789704271632
Iemocap;first_try;raw;17;train;0.5803212851405622
Iemocap;first_try;raw;18;train;0.5815991237677984
Iemocap;first_try;raw;19;train;0.5812340270171595
Iemocap;first_try;raw;20;train;0.5825118656443957
Iemocap;first_try;raw;21;train;0.5766703176341731
Iemocap;first_try;raw;22;train;0.5803212851405622
Iemocap;first_try;raw;23;train;0.5774005111354509
Iemocap;first_try;raw;24;train;0.5742971887550201
Iemocap;first_try;raw;25;train;0.5742971887550201
Iemocap;first_try;raw;26;train;0.5724717050018255
Iemocap;first_try;raw;27;train;0.5733844468784228
Iemocap;first_try;raw;28;train;0.5699160277473531
Iemocap;first_try;raw;29;train;0.5700985761226726
Iemocap;first_try;raw;30;train;0.5671778021175612
Iemocap;first_try;raw;31;train;0.5675428988682001
Iemocap;first_try;raw;32;train;0.5671778021175612
Iemocap;first_try;raw;33;train;0.567907995618839
Iemocap;first_try;raw;34;train;0.5671778021175612
Iemocap;first_try;raw;35;train;0.5658999634903249
Iemocap;first_try;raw;36;train;0.5673603504928806
Iemocap;first_try;raw;37;train;0.5666301569916028
Iemocap;first_try;raw;38;train;0.5657174151150055
Iemocap;first_try;raw;39;train;0.565534866739686
Iemocap;first_try;raw;40;train;0.5653523183643665
Iemocap;first_try;raw;41;train;0.5648046732384082
Iemocap;first_try;raw;42;train;0.5622489959839357
Iemocap;first_try;raw;43;train;0.5626140927345746
Iemocap;first_try;raw;44;train;0.5606060606060606
Iemocap;first_try;raw;45;train;0.5638919313618109
Iemocap;first_try;raw;46;train;0.5631617378605329
Iemocap;first_try;raw;47;train;0.5638919313618109
Iemocap;first_try;raw;48;train;0.5633442862358525
Iemocap;first_try;raw;49;train;0.5627966411098941
Iemocap;first_try;raw;50;train;0.5629791894852135
Iemocap;first_try;raw;51;train;0.5620664476086162
Iemocap;first_try;raw;52;train;0.5606060606060606
Iemocap;first_try;raw;53;train;0.5609711573566996
Iemocap;first_try;raw;54;train;0.5611537057320191
Iemocap;first_try;raw;55;train;0.5611537057320191
Iemocap;first_try;raw;56;train;0.5611537057320191
Iemocap;first_try;raw;57;train;0.561518802482658
Iemocap;first_try;raw;58;train;0.5618838992332968
Iemocap;first_try;raw;59;train;0.5606060606060606
Iemocap;first_try;raw;60;train;0.5609711573566996
Iemocap;first_try;raw;61;train;0.56078860898138
Iemocap;first_try;raw;62;train;0.5609711573566996
Iemocap;first_try;raw;63;train;0.5618838992332968
Iemocap;first_try;raw;64;train;0.5602409638554217
Iemocap;first_try;raw;65;train;0.56078860898138
Iemocap;first_try;raw;66;train;0.5606060606060606
Iemocap;first_try;raw;67;train;0.5617013508579773
Iemocap;first_try;raw;68;train;0.5618838992332968
Iemocap;first_try;raw;69;train;0.5598758671047828
Iemocap;first_try;raw;70;train;0.5604235122307412
